index,总数,总价,平米单价,小区,所在区,户型,楼层,面积,户型结构,建筑类型,朝向,建筑结构,装修情况,梯户比例,电梯与否,发布年,发布月,发布日
10478,171090.0,99.0,11797.0,三盛都会城,龙泉驿,3室2厅1厨1卫,中楼层 (共29层),83.92㎡,平层,板塔结合,东南,钢混结构,简装,两梯四户,有,2022,6,27.0
10730,171120.0,178.0,15955.0,红帆蓝调,武侯,3室2厅1厨1卫,中楼层 (共16层),111.57㎡,平层,板楼,东南,钢混结构,其他,两梯九户,有,2022,6,27.0
11263,171120.0,85.9,9465.0,官渠坊,彭州,3室2厅1厨2卫,高楼层 (共11层),90.74㎡,平层,塔楼,东南,钢混结构,其他,一梯四户,暂无数据,2022,7,3.0
11338,171090.0,46.0,8478.0,维也纳花园二期,新都,1室1厅1厨1卫,低楼层 (共32层),54.26㎡,平层,塔楼,南 东,框架结构,其他,三梯九户,有,2022,7,4.0
11693,171098.0,215.0,28675.0,华润幸福里二期,锦江,2室1厅1厨1卫,高楼层 (共32层),74.98㎡,平层,板楼,北,钢混结构,精装,两梯六户,有,2022,7,1.0
11856,171090.0,290.0,33990.0,凯丽滨江花园,高新,2室1厅1厨1卫,低楼层 (共33层),85.32㎡,暂无数据,塔楼,西,框架结构,简装,三梯五户,有,2022,6,28.0
6115,5521.0,150.0,11298.0,水沐环岛,新都,3室2厅1厨2卫,中楼层 (共12层),132.77㎡,错层,板楼,南 北,钢混结构,其他,一梯三户,有,2022,7,5.0
6163,5521.0,176.0,13603.0,恒大城一期,温江,3室2厅1厨2卫,低楼层 (共11层),129.39㎡,跃层,板塔结合,西北,框架结构,精装,一梯四户,有,2022,7,5.0
6309,5520.0,205.0,16285.0,珠江青云台,温江,4室1厅1厨1卫,高楼层 (共31层),125.89㎡,平层,板塔结合,西,钢混结构,精装,两梯四户,有,2022,7,5.0
6369,5520.0,69.9,9563.0,交大智能六期,金牛,2室1厅1厨1卫,高楼层 (共7层),73.1㎡,暂无数据,板楼,南,混合结构,简装,一梯九户,无,2022,7,5.0
6514,5520.0,43.0,7191.0,金色怡园,崇州,1室1厅1厨1卫,中楼层 (共7层),59.8㎡,暂无数据,板楼,南,混合结构,精装,一梯十二户,暂无数据,2022,7,5.0
6908,5524.0,98.0,11221.0,银河花园,龙泉驿,2室1厅1厨1卫,中楼层 (共6层),87.34㎡,平层,板楼,东南,混合结构,简装,一梯两户,无,2022,7,4.0
7092,5524.0,248.0,23425.0,上锦美地,锦江,3室1厅1厨2卫,高楼层 (共41层),105.87㎡,平层,板楼,东南,钢混结构,简装,三梯六户,有,2022,7,3.0
7118,5524.0,70.5,9930.0,港通山水华庭,简阳,2室2厅1厨1卫,中楼层 (共28层),71㎡,暂无数据,板塔结合,西南,混合结构,毛坯,两梯八户,有,2022,7,3.0
7305,5527.0,50.0,9785.0,上城国际,成华,1室1厅1厨1卫,低楼层 (共33层),51.1㎡,暂无数据,板塔结合,东南,框架结构,其他,三梯九户,有,2022,7,3.0
7361,5530.0,360.0,26667.0,东山国际玫瑰谷,龙泉驿,3室1厅1厨2卫,低楼层 (共5层),135㎡,暂无数据,板楼,东南,钢混结构,精装,一梯两户,无,2022,7,3.0
7478,5532.0,42.5,10314.0,万鸿城市花园,龙泉驿,1室1厅1厨1卫,高楼层 (共17层),41.21㎡,平层,板塔结合,东南,钢混结构,精装,两梯二十五户,有,2022,7,3.0
7524,5532.0,160.0,18010.0,果壳里的城,龙泉驿,3室2厅1厨2卫,中楼层 (共34层),88.84㎡,暂无数据,板塔结合,东南,框架结构,其他,两梯六户,有,2022,7,3.0
7627,5532.0,248.8,20945.0,绿野天城,锦江,3室2厅1厨2卫,高楼层 (共18层),118.79㎡,平层,塔楼,南 北,框架结构,其他,两梯七户,有,2022,7,3.0
7907,5534.0,258.0,25659.0,南湖左岸,天府新区,3室2厅1厨2卫,高楼层 (共25层),100.55㎡,平层,板塔结合,西北,钢混结构,精装,两梯五户,有,2022,7,2.0
7980,5534.0,195.0,15728.0,金色花园一期,武侯,4室1厅1厨2卫,高楼层 (共7层),123.99㎡,跃层,板楼,东南 西北,混合结构,其他,一梯一户,无,2022,7,2.0
8433,5535.0,166.0,16795.0,上道西城,武侯,3室2厅1厨2卫,低楼层 (共11层),98.84㎡,暂无数据,板塔结合,东,钢混结构,精装,一梯四户,有,2022,7,2.0
8695,5536.0,95.0,13168.0,龙湖弗莱明戈一期,郫都,2室1厅1厨1卫,低楼层 (共34层),72.15㎡,暂无数据,板塔结合,西北,框架结构,其他,三梯八户,有,2022,7,1.0
8950,171497.0,92.0,9606.0,驿都公寓,龙泉驿,3室2厅1厨1卫,中楼层 (共6层),95.78㎡,暂无数据,板楼,东,未知结构,精装,一梯两户,有,2022,7,6.0
8601,5583.0,165.0,25725.0,金茂光明城市,天府新区,2室1厅1厨1卫,高楼层 (共33层),64.14㎡,平层,板塔结合,北,钢混结构,其他,三梯十二户,有,2022,7,7.0
9096,5588.0,158.0,25554.0,蓝润V客东都二期,锦江,2室1厅1厨1卫,中楼层 (共38层),61.83㎡,暂无数据,塔楼,东南,框架结构,精装,三梯八户,有,2022,7,6.0
9100,5588.0,170.0,18447.0,二十一世纪花园四期,青羊,2室2厅1厨1卫,中楼层 (共7层),92.16㎡,暂无数据,板楼,西南,砖混结构,简装,一梯两户,无,2022,7,6.0
